partition,gbar_m_s2,raw_sis_gobs_m_s2,mistele2024_gobs_m_s2
kids-pairs-v017-01,7.413102413009162e-14,6.090253871433482e-13,3.3884415613920204e-12
kids-pairs-v017-01,1.2882495516931323e-13,-8.115531549704201e-13,5.128613839913659e-12
kids-pairs-v017-01,2.29086765276777e-13,3.0003991494485144e-12,6.16595001861481e-12
kids-pairs-v017-01,4.073802778041122e-13,2.3063277630683787e-12,7.762471166286927e-12
kids-pairs-v017-01,7.079457843841374e-13,8.135944213683653e-13,1e-11
kids-pairs-v017-01,1.258925411794166e-12,-1.7268417819845412e-12,1.3182567385564048e-11
kids-pairs-v017-01,2.238721138568338e-12,-1.0600362055496365e-12,1.659586907437563e-11
kids-pairs-v017-01,3.8904514499428045e-12,-7.009658477527698e-12,2.2387211385683377e-11
kids-pairs-v017-02,1.3803842646028866e-15,1.5183541244258268e-13,1.4125375446227554e-13
kids-pairs-v017-02,2.4547089156850336e-15,-1.0656710848615205e-13,3.630780547701018e-13
kids-pairs-v017-02,4.2657951880159345e-15,-2.414790740710488e-13,5.370317963702532e-13
kids-pairs-v017-02,7.585775750291851e-15,-1.4033511489578636e-13,8.317637711026708e-13
kids-pairs-v017-02,1.3489628825916561e-14,-2.7130457594845666e-13,1.1748975549395304e-12
kids-pairs-v017-02,2.344228815319918e-14,-2.7167364219856957e-13,1.7378008287493763e-12
kids-pairs-v017-02,4.168693834703347e-14,1.1398264729537678e-12,2.5703957827688646e-12
kids-pairs-v017-02,7.413102413009162e-14,1.5611437139148923e-12,3.3884415613920204e-12
kids-pairs-v017-02,1.2882495516931323e-13,9.236407976926378e-13,5.128613839913659e-12
kids-pairs-v017-02,2.29086765276777e-13,2.2158927954746986e-12,6.16595001861481e-12
kids-pairs-v017-02,4.073802778041122e-13,5.314848895580536e-12,7.762471166286927e-12
kids-pairs-v017-02,7.079457843841374e-13,1.244339899143633e-13,1e-11
kids-pairs-v017-02,1.258925411794166e-12,1.5347250876406377e-12,1.3182567385564048e-11
kids-pairs-v017-02,2.238721138568338e-12,4.705021648065327e-12,1.659586907437563e-11
kids-pairs-v017-02,3.8904514499428045e-12,4.793827693820228e-12,2.2387211385683377e-11
kids-pairs-v017-03,1.3803842646028866e-15,1.5161405647995966e-13,1.4125375446227554e-13
kids-pairs-v017-03,2.4547089156850336e-15,2.511839689426601e-14,3.630780547701018e-13
kids-pairs-v017-03,4.2657951880159345e-15,-1.3293461658272988e-13,5.370317963702532e-13
kids-pairs-v017-03,7.585775750291851e-15,-9.835191576982408e-14,8.317637711026708e-13
kids-pairs-v017-03,1.3489628825916561e-14,2.3182485075971757e-13,1.1748975549395304e-12
kids-pairs-v017-03,2.344228815319918e-14,3.1999599194100433e-13,1.7378008287493763e-12
kids-pairs-v017-03,4.168693834703347e-14,-1.0200732171199277e-12,2.5703957827688646e-12
kids-pairs-v017-03,7.413102413009162e-14,-2.9504078551602166e-13,3.3884415613920204e-12
kids-pairs-v017-03,1.2882495516931323e-13,-2.214795221228649e-12,5.128613839913659e-12
kids-pairs-v017-03,2.29086765276777e-13,-1.5715334091904148e-12,6.16595001861481e-12
kids-pairs-v017-03,4.073802778041122e-13,1.7850883658537639e-12,7.762471166286927e-12
kids-pairs-v017-03,7.079457843841374e-13,-7.071173896416736e-13,1e-11
kids-pairs-v017-03,1.258925411794166e-12,-2.3347122321826257e-12,1.3182567385564048e-11
